Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
2,'004,Afghanistan,221,'01371,"Almonds, in shell",5312,Area harvested,1961,1961,ha,0,A,
2,'004,Afghanistan,221,'01371,"Almonds, in shell",5312,Area harvested,1962,1962,ha,0,A,
2,'004,Afghanistan,221,'01371,"Almonds, in shell",5312,Area harvested,1963,1963,ha,0,A,
2,'004,Afghanistan,221,'01371,"Almonds, in shell",5312,Area harvested,1964,1964,ha,0,A,
2,'004,Afghanistan,221,'01371,"Almonds, in shell",5312,Area harvested,1965,1965,ha,0,A,
2,'004,Afghanistan,221,'01371,"Almonds, in shell",5312,Area harvested,1966,1966,ha,0,A,
2,'004,Afghanistan,221,'01371,"Almonds, in shell",5312,Area harvested,1967,1967,ha,0,A,
2,'004,Afghanistan,221,'01371,"Almonds, in shell",5312,Area harvested,1968,1968,ha,0,A,
2,'004,Afghanistan,221,'01371,"Almonds, in shell",5312,Area harvested,1969,1969,ha,0,A,
2,'004,Afghanistan,221,'01371,"Almonds, in shell",5312,Area harvested,1970,1970,ha,0,A,
2,'004,Afghanistan,221,'01371,"Almonds, in shell",5312,Area harvested,1971,1971,ha,0,A,
2,'004,Afghanistan,221,'01371,"Almonds, in shell",5312,Area harvested,1972,1972,ha,0,A,
2,'004,Afghanistan,221,'01371,"Almonds, in shell",5312,Area harvested,1973,1973,ha,0,A,
2,'004,Afghanistan,221,'01371,"Almonds, in shell",5312,Area harvested,1974,1974,ha,0,A,
