Country,ArableLand_ha,Year
Afghanistan,7846000.0,2023
Albania,590700.0,2023
Algeria,7531000.0,2023
American Samoa,1030.0,2023
Andorra,732.5,2023
Angola,5385000.0,2023
Antigua and Barbuda,4000.0,2023
Argentina,40387343.1,2023
Armenia,441600.0,2023
Aruba,2000.0,2023
Australia,30989678.2,2023
Austria,1321781.6,2023
Azerbaijan,2091700.0,2023
"Bahamas, The",8000.0,2023
Bahrain,2100.0,2023
Bangladesh,7880400.0,2023
Barbados,7000.0,2023
Belarus,5567800.0,2023
Belgium,863153.6,2023
Belize,100000.0,2023
Benin,3545952.3,2023
Bermuda,300.0,2023
Bhutan,100000.0,2023
Bolivia,5562567.6,2023
Bosnia and Herzegovina,370000.0,2023
Botswana,260000.0,2023
Brazil,55642000.0,2023
British Virgin Islands,1000.0,2023
Brunei Darussalam,4000.0,2023
Bulgaria,3486550.0,2023
Burkina Faso,7907388.7,2023
Burundi,1321206.8,2023
Cabo Verde,50000.0,2023
Cambodia,4120139.7,2023
Cameroon,6200000.0,2023
Canada,38151000.0,2023
Cayman Islands,200.0,2023
Central African Republic,1800000.0,2023
Chad,5300000.0,2023
Chile,1406900.0,2023
China,108427100.0,2023
Colombia,2549300.0,2023
Comoros,65000.0,2023
"Congo, Dem. Rep.",14897863.8,2023
"Congo, Rep.",550000.0,2023
Costa Rica,167133.4,2023
Cote d'Ivoire,4803009.7,2023
Croatia,868000.0,2023
Cuba,2908600.0,2023
Cyprus,97873.3,2023
Czechia,2524276.0,2023
Denmark,2365000.0,2023
Djibouti,3000.0,2023
Dominica,6000.0,2023
Dominican Republic,975759.7,2023
Ecuador,1028000.0,2023
"Egypt, Arab Rep.",3103000.0,2023
El Salvador,721000.0,2023
Equatorial Guinea,53000.0,2023
Eritrea,690000.0,2023
Estonia,711000.0,2023
Eswatini,177000.0,2023
Ethiopia,16399972.0,2023
Faroe Islands,70.0,2023
Fiji,76800.0,2023
Finland,2244000.0,2023
France,16899246.0,2023
French Polynesia,2500.0,2023
Gabon,325000.0,2023
"Gambia, The",440000.0,2023
Georgia,304000.0,2023
Germany,11681000.0,2023
Ghana,4709900.0,2023
Greece,1861153.1,2023
Grenada,3000.0,2023
Guam,1000.0,2023
Guatemala,1554000.0,2023
Guinea,6000091.0,2023
Guinea-Bissau,395530.5,2023
Guyana,97000.0,2023
Haiti,1005000.0,2023
Honduras,1018000.0,2023
"Hong Kong SAR, China",2000.0,2023
Hungary,4144147.0,2023
Iceland,121000.0,2023
India,153868700.0,2023
Indonesia,17782903.0,2023
"Iran, Islamic Rep.",15699000.0,2023
Iraq,4969000.0,2023
Ireland,439000.0,2023
Isle of Man,23439.9,2023
Israel,271400.0,2023
Italy,7084477.0,2023
Jamaica,120000.0,2023
Japan,4044000.0,2023
Jordan,204000.0,2023
Kazakhstan,29669700.0,2023
Kenya,6632158.9,2023
Kiribati,2000.0,2023
"Korea, Dem. People's Rep.",2295000.0,2023
"Korea, Rep.",1456000.0,2023
Kuwait,8000.0,2023
Kyrgyz Republic,1286385.0,2023
Lao PDR,1224000.0,2023
Latvia,1360000.0,2023
Lebanon,134213.8,2023
Lesotho,356748.0,2023
Liberia,500000.0,2023
Libya,1720000.0,2023
Liechtenstein,1730.0,2023
Lithuania,2303000.0,2023
Luxembourg,61326.0,2023
Madagascar,3000000.0,2023
Malawi,4000000.0,2023
Malaysia,784300.0,2023
Maldives,4000.0,2023
Mali,8341000.0,2023
Malta,7300.0,2023
Marshall Islands,500.0,2023
Mauritania,450000.0,2023
Mauritius,75000.0,2023
Mexico,20023594.6,2023
"Micronesia, Fed. Sts.",2000.0,2023
Moldova,1871000.0,2023
Mongolia,1143268.5,2023
Montenegro,9050.0,2023
Morocco,6874051.8,2023
Mozambique,5650000.0,2023
Myanmar,11007332.0,2023
Namibia,800000.0,2023
Nepal,1803800.0,2023
Netherlands,1009000.0,2023
New Caledonia,5970.0,2023
New Zealand,520000.0,2023
Nicaragua,1503000.0,2023
Niger,17700000.0,2023
Nigeria,36872000.0,2023
North Macedonia,416000.0,2023
Northern Mariana Islands,80.0,2023
Norway,803000.0,2023
Oman,87130.0,2023
Pakistan,30260000.0,2023
Palau,300.0,2023
Panama,565000.0,2023
Papua New Guinea,330000.0,2023
Paraguay,4561000.0,2023
Peru,3918431.0,2023
Philippines,5590000.0,2023
Poland,11202000.0,2023
Portugal,927262.8,2023
Puerto Rico (US),50200.0,2023
Qatar,21000.0,2023
Romania,8407000.0,2023
Russian Federation,121649000.0,2023
Rwanda,1159071.0,2023
Samoa,10710.0,2023
San Marino,1985.0,2023
Sao Tome and Principe,4000.0,2023
Saudi Arabia,3430417.0,2023
Senegal,3830000.0,2023
Serbia,2603000.0,2023
Seychelles,150.0,2023
Sierra Leone,1584000.0,2023
Singapore,560.0,2023
Slovak Republic,1307000.0,2023
Slovenia,178890.0,2023
Solomon Islands,23000.0,2023
"Somalia, Fed. Rep.",1100000.0,2023
South Africa,12000000.0,2023
South Sudan,2489233.3,2023
Spain,11496755.0,2023
Sri Lanka,1372000.0,2023
St. Kitts and Nevis,5000.0,2023
St. Lucia,2670.0,2023
St. Vincent and the Grenadines,2000.0,2023
Sudan,20995000.0,2023
Suriname,52965.0,2023
Sweden,2526000.0,2023
Switzerland,396420.9,2023
Syrian Arab Republic,4400000.0,2023
Tajikistan,844400.0,2023
Tanzania,13502500.0,2023
Thailand,15835200.0,2023
Timor-Leste,111500.0,2023
Togo,2650000.0,2023
Tonga,20000.0,2023
Trinidad and Tobago,25000.0,2023
Tunisia,2831300.0,2023
Turkiye,20277000.0,2023
Turkmenistan,1591539.2,2023
Turks and Caicos Islands,1000.0,2023
Uganda,6900000.0,2023
Ukraine,32924000.0,2023
United Arab Emirates,50384.0,2023
United Kingdom,6043691.6,2023
United States,151563525.1,2023
Uruguay,2199600.0,2023
Uzbekistan,4029000.0,2023
Vanuatu,20000.0,2023
"Venezuela, RB",2600000.0,2023
Viet Nam,6728480.0,2023
Virgin Islands (U.S.),900.0,2023
West Bank and Gaza,41900.0,2023
"Yemen, Rep.",1158000.0,2023
Zambia,3800000.0,2023
Zimbabwe,4020407.7,2023
